"","Altitude","Forest.Cover","Forest.Density","Broadleaf.Trees","E2.Layer","E2.Confiers","E1.Layer","E1Height","Slope","Rocks","Exposition","Species","Count","Site"
"7.8",1035,4,3,"2",2,0,1,1,6,"yes","cold","Cuculus.canorus",0,7
"8.8",1130,4,2,"2",2,2,4,1,1,"no","cold","Cuculus.canorus",0,8
"9.8",1090,2,2,"3",2,0,8,1,6,"no","cold","Cuculus.canorus",2,9
"10.8",1105,2,2,"4",3,2,9,2,6,"no","cold","Cuculus.canorus",2,10
"11.8",1240,4,1,"2",1,4,8,2,6,"yes","cold","Cuculus.canorus",2,11
"12.8",1235,4,1,"2",3,2,9,3,7,"no","cold","Cuculus.canorus",2,12
"13.8",1220,3,2,"4",0,0,9,2,6,"no","cold","Cuculus.canorus",2,13
"14.8",1180,0,0,"0",3,1,8,3,7,"no","cold","Cuculus.canorus",2,14
"15.8",1275,3,2,"2",3,2,8,1,5,"yes","warm","Cuculus.canorus",2,15
"16.8",1315,2,2,"0",0,0,9,1,5,"yes","warm","Cuculus.canorus",2,16
"17.8",1275,4,2,"2",2,2,8,2,6,"no","cold","Cuculus.canorus",4,17
"18.8",1330,2,2,"1",1,3,6,2,7,"no","cold","Cuculus.canorus",4,18
"19.8",860,2,2,"1",1,3,8,2,5,"no","cold","Cuculus.canorus",0,19
"20.8",1285,3,2,"2",1,2,7,2,6,"no","warm","Cuculus.canorus",4,20
"21.8",1330,1,1,"1",1,4,8,1,6,"yes","warm","Cuculus.canorus",4,21
"22.8",885,4,2,"1",2,3,7,3,6,"no","cold","Cuculus.canorus",0,22
"23.8",1025,4,2,"2",0,0,4,1,5,"no","cold","Cuculus.canorus",2,23
"24.8",1095,4,2,"3",0,0,8,1,6,"no","cold","Cuculus.canorus",4,24
"25.8",1155,2,2,"2",1,2,6,2,4,"no","cold","Cuculus.canorus",6,25
"26.8",1190,3,2,"2",2,2,5,2,7,"no","cold","Cuculus.canorus",4,26
"27.8",1295,2,2,"0",2,4,6,2,6,"no","cold","Cuculus.canorus",4,27
"28.8",930,4,2,"4",1,0,6,2,8,"no","cold","Cuculus.canorus",2,28
"29.8",1000,3,2,"4",1,0,9,4,7,"no","cold","Cuculus.canorus",2,29
"30.8",1090,4,1,"2",3,4,9,3,5,"no","cold","Cuculus.canorus",2,30
"31.8",1180,2,2,"2",2,2,4,1,3,"no","cold","Cuculus.canorus",4,31
"32.8",1175,3,2,"4",3,0,8,2,4,"no","warm","Cuculus.canorus",0,32
"33.8",1170,4,2,"4",2,0,8,2,8,"no","warm","Cuculus.canorus",0,33
"34.8",1190,4,2,"4",3,0,9,2,9,"no","warm","Cuculus.canorus",0,34
"35.8",910,4,2,"4",0,0,7,2,8,"no","cold","Cuculus.canorus",0,35
"36.8",1050,4,3,"2",0,0,8,2,4,"no","cold","Cuculus.canorus",2,36
"37.8",1035,4,1,"3",3,2,9,3,4,"no","warm","Cuculus.canorus",0,37
"38.8",1010,2,1,"4",3,0,9,3,9,"no","warm","Cuculus.canorus",2,38
"39.8",1135,4,2,"4",3,0,9,3,9,"no","cold","Cuculus.canorus",0,39
"40.8",1190,4,2,"4",1,0,9,3,9,"no","warm","Cuculus.canorus",0,40
"41.8",910,4,2,"4",0,0,6,2,9,"no","warm","Cuculus.canorus",0,41
"42.8",1050,4,2,"3",0,0,9,2,7,"no","warm","Cuculus.canorus",2,42
"43.8",1045,1,2,"4",3,1,9,2,8,"no","warm","Cuculus.canorus",0,43
"1.9",860,4,3,"2",2,2,3,1,8,"no","cold","Pyrrhula.pyrrhula",0,1
"2.9",1010,4,3,"2",0,0,1,1,5,"yes","cold","Pyrrhula.pyrrhula",2,2
"3.9",1070,4,2,"2",2,2,4,1,8,"no","cold","Pyrrhula.pyrrhula",2,3
"4.9",1050,4,2,"2",2,2,3,1,9,"no","cold","Pyrrhula.pyrrhula",0,4
"5.9",1030,4,2,"2",2,2,6,1,7,"no","cold","Pyrrhula.pyrrhula",0,5
"6.9",880,4,1,"2",2,2,5,2,9,"yes","cold","Pyrrhula.pyrrhula",1,6
"7.9",1035,4,3,"2",2,0,1,1,6,"yes","cold","Pyrrhula.pyrrhula",2,7
"8.9",1130,4,2,"2",2,2,4,1,1,"no","cold","Pyrrhula.pyrrhula",2,8
"9.9",1090,2,2,"3",2,0,8,1,6,"no","cold","Pyrrhula.pyrrhula",0,9
"10.9",1105,2,2,"4",3,2,9,2,6,"no","cold","Pyrrhula.pyrrhula",0,10
"11.9",1240,4,1,"2",1,4,8,2,6,"yes","cold","Pyrrhula.pyrrhula",3,11
"12.9",1235,4,1,"2",3,2,9,3,7,"no","cold","Pyrrhula.pyrrhula",1,12
"13.9",1220,3,2,"4",0,0,9,2,6,"no","cold","Pyrrhula.pyrrhula",2,13
"14.9",1180,0,0,"0",3,1,8,3,7,"no","cold","Pyrrhula.pyrrhula",1,14
"15.9",1275,3,2,"2",3,2,8,1,5,"yes","warm","Pyrrhula.pyrrhula",1,15
"16.9",1315,2,2,"0",0,0,9,1,5,"yes","warm","Pyrrhula.pyrrhula",2,16
"17.9",1275,4,2,"2",2,2,8,2,6,"no","cold","Pyrrhula.pyrrhula",2,17
"18.9",1330,2,2,"1",1,3,6,2,7,"no","cold","Pyrrhula.pyrrhula",0,18
"19.9",860,2,2,"1",1,3,8,2,5,"no","cold","Pyrrhula.pyrrhula",2,19
"20.9",1285,3,2,"2",1,2,7,2,6,"no","warm","Pyrrhula.pyrrhula",3,20
"21.9",1330,1,1,"1",1,4,8,1,6,"yes","warm","Pyrrhula.pyrrhula",6,21
"22.9",885,4,2,"1",2,3,7,3,6,"no","cold","Pyrrhula.pyrrhula",0,22
"23.9",1025,4,2,"2",0,0,4,1,5,"no","cold","Pyrrhula.pyrrhula",4,23
"24.9",1095,4,2,"3",0,0,8,1,6,"no","cold","Pyrrhula.pyrrhula",0,24
"25.9",1155,2,2,"2",1,2,6,2,4,"no","cold","Pyrrhula.pyrrhula",2,25
"26.9",1190,3,2,"2",2,2,5,2,7,"no","cold","Pyrrhula.pyrrhula",4,26
"27.9",1295,2,2,"0",2,4,6,2,6,"no","cold","Pyrrhula.pyrrhula",6,27
"28.9",930,4,2,"4",1,0,6,2,8,"no","cold","Pyrrhula.pyrrhula",0,28
"29.9",1000,3,2,"4",1,0,9,4,7,"no","cold","Pyrrhula.pyrrhula",0,29
"30.9",1090,4,1,"2",3,4,9,3,5,"no","cold","Pyrrhula.pyrrhula",4,30
"31.9",1180,2,2,"2",2,2,4,1,3,"no","cold","Pyrrhula.pyrrhula",0,31
"32.9",1175,3,2,"4",3,0,8,2,4,"no","warm","Pyrrhula.pyrrhula",0,32
"33.9",1170,4,2,"4",2,0,8,2,8,"no","warm","Pyrrhula.pyrrhula",1,33
"34.9",1190,4,2,"4",3,0,9,2,9,"no","warm","Pyrrhula.pyrrhula",0,34
"35.9",910,4,2,"4",0,0,7,2,8,"no","cold","Pyrrhula.pyrrhula",0,35
"36.9",1050,4,3,"2",0,0,8,2,4,"no","cold","Pyrrhula.pyrrhula",3,36
"37.9",1035,4,1,"3",3,2,9,3,4,"no","warm","Pyrrhula.pyrrhula",3,37
"38.9",1010,2,1,"4",3,0,9,3,9,"no","warm","Pyrrhula.pyrrhula",0,38
"39.9",1135,4,2,"4",3,0,9,3,9,"no","cold","Pyrrhula.pyrrhula",0,39
"40.9",1190,4,2,"4",1,0,9,3,9,"no","warm","Pyrrhula.pyrrhula",0,40
"41.9",910,4,2,"4",0,0,6,2,9,"no","warm","Pyrrhula.pyrrhula",0,41
"42.9",1050,4,2,"3",0,0,9,2,7,"no","warm","Pyrrhula.pyrrhula",0,42
"43.9",1045,1,2,"4",3,1,9,2,8,"no","warm","Pyrrhula.pyrrhula",0,43
"1.10",860,4,3,"2",2,2,3,1,8,"no","cold","Turdus.torquatus",0,1
"2.10",1010,4,3,"2",0,0,1,1,5,"yes","cold","Turdus.torquatus",1,2
"3.10",1070,4,2,"2",2,2,4,1,8,"no","cold","Turdus.torquatus",2,3
"4.10",1050,4,2,"2",2,2,3,1,9,"no","cold","Turdus.torquatus",2,4
"5.10",1030,4,2,"2",2,2,6,1,7,"no","cold","Turdus.torquatus",0,5
"6.10",880,4,1,"2",2,2,5,2,9,"yes","cold","Turdus.torquatus",0,6
"7.10",1035,4,3,"2",2,0,1,1,6,"yes","cold","Turdus.torquatus",2,7
"8.10",1130,4,2,"2",2,2,4,1,1,"no","cold","Turdus.torquatus",2,8
"9.10",1090,2,2,"3",2,0,8,1,6,"no","cold","Turdus.torquatus",0,9
"10.10",1105,2,2,"4",3,2,9,2,6,"no","cold","Turdus.torquatus",0,10
"11.10",1240,4,1,"2",1,4,8,2,6,"yes","cold","Turdus.torquatus",5,11
"12.10",1235,4,1,"2",3,2,9,3,7,"no","cold","Turdus.torquatus",2,12
"13.10",1220,3,2,"4",0,0,9,2,6,"no","cold","Turdus.torquatus",1,13
"14.10",1180,0,0,"0",3,1,8,3,7,"no","cold","Turdus.torquatus",4,14
"15.10",1275,3,2,"2",3,2,8,1,5,"yes","warm","Turdus.torquatus",2,15
"16.10",1315,2,2,"0",0,0,9,1,5,"yes","warm","Turdus.torquatus",5,16
"17.10",1275,4,2,"2",2,2,8,2,6,"no","cold","Turdus.torquatus",5,17
"18.10",1330,2,2,"1",1,3,6,2,7,"no","cold","Turdus.torquatus",6,18
"19.10",860,2,2,"1",1,3,8,2,5,"no","cold","Turdus.torquatus",0,19
"20.10",1285,3,2,"2",1,2,7,2,6,"no","warm","Turdus.torquatus",8,20
"21.10",1330,1,1,"1",1,4,8,1,6,"yes","warm","Turdus.torquatus",4,21
"22.10",885,4,2,"1",2,3,7,3,6,"no","cold","Turdus.torquatus",0,22
"23.10",1025,4,2,"2",0,0,4,1,5,"no","cold","Turdus.torquatus",2,23
"24.10",1095,4,2,"3",0,0,8,1,6,"no","cold","Turdus.torquatus",0,24
"25.10",1155,2,2,"2",1,2,6,2,4,"no","cold","Turdus.torquatus",8,25
"26.10",1190,3,2,"2",2,2,5,2,7,"no","cold","Turdus.torquatus",4,26
"27.10",1295,2,2,"0",2,4,6,2,6,"no","cold","Turdus.torquatus",4,27
"28.10",930,4,2,"4",1,0,6,2,8,"no","cold","Turdus.torquatus",0,28
"29.10",1000,3,2,"4",1,0,9,4,7,"no","cold","Turdus.torquatus",2,29
"30.10",1090,4,1,"2",3,4,9,3,5,"no","cold","Turdus.torquatus",0,30
"31.10",1180,2,2,"2",2,2,4,1,3,"no","cold","Turdus.torquatus",0,31
"32.10",1175,3,2,"4",3,0,8,2,4,"no","warm","Turdus.torquatus",0,32
"33.10",1170,4,2,"4",2,0,8,2,8,"no","warm","Turdus.torquatus",0,33
"34.10",1190,4,2,"4",3,0,9,2,9,"no","warm","Turdus.torquatus",0,34
"35.10",910,4,2,"4",0,0,7,2,8,"no","cold","Turdus.torquatus",0,35
"36.10",1050,4,3,"2",0,0,8,2,4,"no","cold","Turdus.torquatus",2,36
"37.10",1035,4,1,"3",3,2,9,3,4,"no","warm","Turdus.torquatus",0,37
"38.10",1010,2,1,"4",3,0,9,3,9,"no","warm","Turdus.torquatus",0,38
"39.10",1135,4,2,"4",3,0,9,3,9,"no","cold","Turdus.torquatus",0,39
"40.10",1190,4,2,"4",1,0,9,3,9,"no","warm","Turdus.torquatus",0,40
"41.10",910,4,2,"4",0,0,6,2,9,"no","warm","Turdus.torquatus",0,41
"42.10",1050,4,2,"3",0,0,9,2,7,"no","warm","Turdus.torquatus",0,42
"43.10",1045,1,2,"4",3,1,9,2,8,"no","warm","Turdus.torquatus",0,43
"1.11",860,4,3,"2",2,2,3,1,8,"no","cold","Regulus.regulus",0,1
"2.11",1010,4,3,"2",0,0,1,1,5,"yes","cold","Regulus.regulus",4,2
"3.11",1070,4,2,"2",2,2,4,1,8,"no","cold","Regulus.regulus",4,3
"4.11",1050,4,2,"2",2,2,3,1,9,"no","cold","Regulus.regulus",0,4
"5.11",1030,4,2,"2",2,2,6,1,7,"no","cold","Regulus.regulus",6,5
"6.11",880,4,1,"2",2,2,5,2,9,"yes","cold","Regulus.regulus",2,6
"7.11",1035,4,3,"2",2,0,1,1,6,"yes","cold","Regulus.regulus",2,7
"8.11",1130,4,2,"2",2,2,4,1,1,"no","cold","Regulus.regulus",2,8
"9.11",1090,2,2,"3",2,0,8,1,6,"no","cold","Regulus.regulus",0,9
"10.11",1105,2,2,"4",3,2,9,2,6,"no","cold","Regulus.regulus",2,10
"11.11",1240,4,1,"2",1,4,8,2,6,"yes","cold","Regulus.regulus",1,11
"12.11",1235,4,1,"2",3,2,9,3,7,"no","cold","Regulus.regulus",3,12
"13.11",1220,3,2,"4",0,0,9,2,6,"no","cold","Regulus.regulus",0,13
"14.11",1180,0,0,"0",3,1,8,3,7,"no","cold","Regulus.regulus",0,14
"15.11",1275,3,2,"2",3,2,8,1,5,"yes","warm","Regulus.regulus",0,15
"16.11",1315,2,2,"0",0,0,9,1,5,"yes","warm","Regulus.regulus",2,16
"17.11",1275,4,2,"2",2,2,8,2,6,"no","cold","Regulus.regulus",0,17
"18.11",1330,2,2,"1",1,3,6,2,7,"no","cold","Regulus.regulus",2,18
"19.11",860,2,2,"1",1,3,8,2,5,"no","cold","Regulus.regulus",2,19
"20.11",1285,3,2,"2",1,2,7,2,6,"no","warm","Regulus.regulus",0,20
"21.11",1330,1,1,"1",1,4,8,1,6,"yes","warm","Regulus.regulus",0,21
"22.11",885,4,2,"1",2,3,7,3,6,"no","cold","Regulus.regulus",0,22
"23.11",1025,4,2,"2",0,0,4,1,5,"no","cold","Regulus.regulus",2,23
"24.11",1095,4,2,"3",0,0,8,1,6,"no","cold","Regulus.regulus",0,24
"25.11",1155,2,2,"2",1,2,6,2,4,"no","cold","Regulus.regulus",2,25
"26.11",1190,3,2,"2",2,2,5,2,7,"no","cold","Regulus.regulus",4,26
"27.11",1295,2,2,"0",2,4,6,2,6,"no","cold","Regulus.regulus",0,27
"28.11",930,4,2,"4",1,0,6,2,8,"no","cold","Regulus.regulus",0,28
"29.11",1000,3,2,"4",1,0,9,4,7,"no","cold","Regulus.regulus",2,29
"30.11",1090,4,1,"2",3,4,9,3,5,"no","cold","Regulus.regulus",3,30
"31.11",1180,2,2,"2",2,2,4,1,3,"no","cold","Regulus.regulus",2,31
"32.11",1175,3,2,"4",3,0,8,2,4,"no","warm","Regulus.regulus",0,32
"33.11",1170,4,2,"4",2,0,8,2,8,"no","warm","Regulus.regulus",4,33
"34.11",1190,4,2,"4",3,0,9,2,9,"no","warm","Regulus.regulus",0,34
"35.11",910,4,2,"4",0,0,7,2,8,"no","cold","Regulus.regulus",0,35
"36.11",1050,4,3,"2",0,0,8,2,4,"no","cold","Regulus.regulus",0,36
"37.11",1035,4,1,"3",3,2,9,3,4,"no","warm","Regulus.regulus",0,37
"38.11",1010,2,1,"4",3,0,9,3,9,"no","warm","Regulus.regulus",0,38
"39.11",1135,4,2,"4",3,0,9,3,9,"no","cold","Regulus.regulus",0,39
"40.11",1190,4,2,"4",1,0,9,3,9,"no","warm","Regulus.regulus",0,40
"41.11",910,4,2,"4",0,0,6,2,9,"no","warm","Regulus.regulus",0,41
"42.11",1050,4,2,"3",0,0,9,2,7,"no","warm","Regulus.regulus",0,42
"43.11",1045,1,2,"4",3,1,9,2,8,"no","warm","Regulus.regulus",2,43
"1.12",860,4,3,"2",2,2,3,1,8,"no","cold","Phylloscopus.trochilus",0,1
"2.12",1010,4,3,"2",0,0,1,1,5,"yes","cold","Phylloscopus.trochilus",2,2
"3.12",1070,4,2,"2",2,2,4,1,8,"no","cold","Phylloscopus.trochilus",0,3
"4.12",1050,4,2,"2",2,2,3,1,9,"no","cold","Phylloscopus.trochilus",0,4
"5.12",1030,4,2,"2",2,2,6,1,7,"no","cold","Phylloscopus.trochilus",0,5
"6.12",880,4,1,"2",2,2,5,2,9,"yes","cold","Phylloscopus.trochilus",0,6
"7.12",1035,4,3,"2",2,0,1,1,6,"yes","cold","Phylloscopus.trochilus",2,7
"8.12",1130,4,2,"2",2,2,4,1,1,"no","cold","Phylloscopus.trochilus",0,8
"9.12",1090,2,2,"3",2,0,8,1,6,"no","cold","Phylloscopus.trochilus",0,9
"10.12",1105,2,2,"4",3,2,9,2,6,"no","cold","Phylloscopus.trochilus",4,10
"11.12",1240,4,1,"2",1,4,8,2,6,"yes","cold","Phylloscopus.trochilus",0,11
"12.12",1235,4,1,"2",3,2,9,3,7,"no","cold","Phylloscopus.trochilus",0,12
"13.12",1220,3,2,"4",0,0,9,2,6,"no","cold","Phylloscopus.trochilus",2,13
"14.12",1180,0,0,"0",3,1,8,3,7,"no","cold","Phylloscopus.trochilus",7,14
"15.12",1275,3,2,"2",3,2,8,1,5,"yes","warm","Phylloscopus.trochilus",4,15
"16.12",1315,2,2,"0",0,0,9,1,5,"yes","warm","Phylloscopus.trochilus",4,16
"17.12",1275,4,2,"2",2,2,8,2,6,"no","cold","Phylloscopus.trochilus",0,17
"18.12",1330,2,2,"1",1,3,6,2,7,"no","cold","Phylloscopus.trochilus",0,18
"19.12",860,2,2,"1",1,3,8,2,5,"no","cold","Phylloscopus.trochilus",0,19
"20.12",1285,3,2,"2",1,2,7,2,6,"no","warm","Phylloscopus.trochilus",2,20
"21.12",1330,1,1,"1",1,4,8,1,6,"yes","warm","Phylloscopus.trochilus",2,21
"22.12",885,4,2,"1",2,3,7,3,6,"no","cold","Phylloscopus.trochilus",0,22
"23.12",1025,4,2,"2",0,0,4,1,5,"no","cold","Phylloscopus.trochilus",0,23
"24.12",1095,4,2,"3",0,0,8,1,6,"no","cold","Phylloscopus.trochilus",0,24
"25.12",1155,2,2,"2",1,2,6,2,4,"no","cold","Phylloscopus.trochilus",2,25
"26.12",1190,3,2,"2",2,2,5,2,7,"no","cold","Phylloscopus.trochilus",0,26
"27.12",1295,2,2,"0",2,4,6,2,6,"no","cold","Phylloscopus.trochilus",4,27
"28.12",930,4,2,"4",1,0,6,2,8,"no","cold","Phylloscopus.trochilus",0,28
"29.12",1000,3,2,"4",1,0,9,4,7,"no","cold","Phylloscopus.trochilus",2,29
"30.12",1090,4,1,"2",3,4,9,3,5,"no","cold","Phylloscopus.trochilus",0,30
"31.12",1180,2,2,"2",2,2,4,1,3,"no","cold","Phylloscopus.trochilus",2,31
"32.12",1175,3,2,"4",3,0,8,2,4,"no","warm","Phylloscopus.trochilus",2,32
"33.12",1170,4,2,"4",2,0,8,2,8,"no","warm","Phylloscopus.trochilus",0,33
"34.12",1190,4,2,"4",3,0,9,2,9,"no","warm","Phylloscopus.trochilus",2,34
"35.12",910,4,2,"4",0,0,7,2,8,"no","cold","Phylloscopus.trochilus",0,35
"36.12",1050,4,3,"2",0,0,8,2,4,"no","cold","Phylloscopus.trochilus",0,36
"37.12",1035,4,1,"3",3,2,9,3,4,"no","warm","Phylloscopus.trochilus",2,37
"38.12",1010,2,1,"4",3,0,9,3,9,"no","warm","Phylloscopus.trochilus",4,38
"39.12",1135,4,2,"4",3,0,9,3,9,"no","cold","Phylloscopus.trochilus",0,39
"40.12",1190,4,2,"4",1,0,9,3,9,"no","warm","Phylloscopus.trochilus",0,40
"41.12",910,4,2,"4",0,0,6,2,9,"no","warm","Phylloscopus.trochilus",2,41
"42.12",1050,4,2,"3",0,0,9,2,7,"no","warm","Phylloscopus.trochilus",0,42
"43.12",1045,1,2,"4",3,1,9,2,8,"no","warm","Phylloscopus.trochilus",4,43
"1.13",860,4,3,"2",2,2,3,1,8,"no","cold","Troglodytes.troglodytes",0,1
"2.13",1010,4,3,"2",0,0,1,1,5,"yes","cold","Troglodytes.troglodytes",0,2
"3.13",1070,4,2,"2",2,2,4,1,8,"no","cold","Troglodytes.troglodytes",0,3
"4.13",1050,4,2,"2",2,2,3,1,9,"no","cold","Troglodytes.troglodytes",2,4
"5.13",1030,4,2,"2",2,2,6,1,7,"no","cold","Troglodytes.troglodytes",0,5
"6.13",880,4,1,"2",2,2,5,2,9,"yes","cold","Troglodytes.troglodytes",2,6
"7.13",1035,4,3,"2",2,0,1,1,6,"yes","cold","Troglodytes.troglodytes",0,7
"8.13",1130,4,2,"2",2,2,4,1,1,"no","cold","Troglodytes.troglodytes",0,8
"9.13",1090,2,2,"3",2,0,8,1,6,"no","cold","Troglodytes.troglodytes",2,9
"10.13",1105,2,2,"4",3,2,9,2,6,"no","cold","Troglodytes.troglodytes",0,10
"11.13",1240,4,1,"2",1,4,8,2,6,"yes","cold","Troglodytes.troglodytes",0,11
"12.13",1235,4,1,"2",3,2,9,3,7,"no","cold","Troglodytes.troglodytes",0,12
"13.13",1220,3,2,"4",0,0,9,2,6,"no","cold","Troglodytes.troglodytes",4,13
"14.13",1180,0,0,"0",3,1,8,3,7,"no","cold","Troglodytes.troglodytes",2,14
"15.13",1275,3,2,"2",3,2,8,1,5,"yes","warm","Troglodytes.troglodytes",0,15
"16.13",1315,2,2,"0",0,0,9,1,5,"yes","warm","Troglodytes.troglodytes",0,16
"17.13",1275,4,2,"2",2,2,8,2,6,"no","cold","Troglodytes.troglodytes",2,17
"18.13",1330,2,2,"1",1,3,6,2,7,"no","cold","Troglodytes.troglodytes",0,18
"19.13",860,2,2,"1",1,3,8,2,5,"no","cold","Troglodytes.troglodytes",2,19
"20.13",1285,3,2,"2",1,2,7,2,6,"no","warm","Troglodytes.troglodytes",2,20
"21.13",1330,1,1,"1",1,4,8,1,6,"yes","warm","Troglodytes.troglodytes",0,21
"22.13",885,4,2,"1",2,3,7,3,6,"no","cold","Troglodytes.troglodytes",2,22
"23.13",1025,4,2,"2",0,0,4,1,5,"no","cold","Troglodytes.troglodytes",0,23
"24.13",1095,4,2,"3",0,0,8,1,6,"no","cold","Troglodytes.troglodytes",0,24
"25.13",1155,2,2,"2",1,2,6,2,4,"no","cold","Troglodytes.troglodytes",2,25
"26.13",1190,3,2,"2",2,2,5,2,7,"no","cold","Troglodytes.troglodytes",0,26
"27.13",1295,2,2,"0",2,4,6,2,6,"no","cold","Troglodytes.troglodytes",0,27
"28.13",930,4,2,"4",1,0,6,2,8,"no","cold","Troglodytes.troglodytes",0,28
"29.13",1000,3,2,"4",1,0,9,4,7,"no","cold","Troglodytes.troglodytes",0,29
"30.13",1090,4,1,"2",3,4,9,3,5,"no","cold","Troglodytes.troglodytes",0,30
"31.13",1180,2,2,"2",2,2,4,1,3,"no","cold","Troglodytes.troglodytes",2,31
"32.13",1175,3,2,"4",3,0,8,2,4,"no","warm","Troglodytes.troglodytes",2,32
"33.13",1170,4,2,"4",2,0,8,2,8,"no","warm","Troglodytes.troglodytes",4,33
"34.13",1190,4,2,"4",3,0,9,2,9,"no","warm","Troglodytes.troglodytes",0,34
"35.13",910,4,2,"4",0,0,7,2,8,"no","cold","Troglodytes.troglodytes",0,35
"36.13",1050,4,3,"2",0,0,8,2,4,"no","cold","Troglodytes.troglodytes",0,36
"37.13",1035,4,1,"3",3,2,9,3,4,"no","warm","Troglodytes.troglodytes",2,37
"38.13",1010,2,1,"4",3,0,9,3,9,"no","warm","Troglodytes.troglodytes",2,38
"39.13",1135,4,2,"4",3,0,9,3,9,"no","cold","Troglodytes.troglodytes",6,39
"40.13",1190,4,2,"4",1,0,9,3,9,"no","warm","Troglodytes.troglodytes",4,40
"41.13",910,4,2,"4",0,0,6,2,9,"no","warm","Troglodytes.troglodytes",2,41
"42.13",1050,4,2,"3",0,0,9,2,7,"no","warm","Troglodytes.troglodytes",0,42
"43.13",1045,1,2,"4",3,1,9,2,8,"no","warm","Troglodytes.troglodytes",2,43
"1.14",860,4,3,"2",2,2,3,1,8,"no","cold","Phylloscopus.sibilatrix",0,1
"2.14",1010,4,3,"2",0,0,1,1,5,"yes","cold","Phylloscopus.sibilatrix",0,2
"3.14",1070,4,2,"2",2,2,4,1,8,"no","cold","Phylloscopus.sibilatrix",0,3
"4.14",1050,4,2,"2",2,2,3,1,9,"no","cold","Phylloscopus.sibilatrix",0,4
"5.14",1030,4,2,"2",2,2,6,1,7,"no","cold","Phylloscopus.sibilatrix",0,5
"6.14",880,4,1,"2",2,2,5,2,9,"yes","cold","Phylloscopus.sibilatrix",2,6
"7.14",1035,4,3,"2",2,0,1,1,6,"yes","cold","Phylloscopus.sibilatrix",1,7
"8.14",1130,4,2,"2",2,2,4,1,1,"no","cold","Phylloscopus.sibilatrix",0,8
"9.14",1090,2,2,"3",2,0,8,1,6,"no","cold","Phylloscopus.sibilatrix",0,9
"10.14",1105,2,2,"4",3,2,9,2,6,"no","cold","Phylloscopus.sibilatrix",0,10
"11.14",1240,4,1,"2",1,4,8,2,6,"yes","cold","Phylloscopus.sibilatrix",0,11
"12.14",1235,4,1,"2",3,2,9,3,7,"no","cold","Phylloscopus.sibilatrix",0,12
"13.14",1220,3,2,"4",0,0,9,2,6,"no","cold","Phylloscopus.sibilatrix",0,13
"14.14",1180,0,0,"0",3,1,8,3,7,"no","cold","Phylloscopus.sibilatrix",0,14
"15.14",1275,3,2,"2",3,2,8,1,5,"yes","warm","Phylloscopus.sibilatrix",0,15
"16.14",1315,2,2,"0",0,0,9,1,5,"yes","warm","Phylloscopus.sibilatrix",0,16
"17.14",1275,4,2,"2",2,2,8,2,6,"no","cold","Phylloscopus.sibilatrix",0,17
"18.14",1330,2,2,"1",1,3,6,2,7,"no","cold","Phylloscopus.sibilatrix",0,18
"19.14",860,2,2,"1",1,3,8,2,5,"no","cold","Phylloscopus.sibilatrix",0,19
"20.14",1285,3,2,"2",1,2,7,2,6,"no","warm","Phylloscopus.sibilatrix",0,20
"21.14",1330,1,1,"1",1,4,8,1,6,"yes","warm","Phylloscopus.sibilatrix",0,21
"22.14",885,4,2,"1",2,3,7,3,6,"no","cold","Phylloscopus.sibilatrix",0,22
"23.14",1025,4,2,"2",0,0,4,1,5,"no","cold","Phylloscopus.sibilatrix",4,23
"24.14",1095,4,2,"3",0,0,8,1,6,"no","cold","Phylloscopus.sibilatrix",3,24
"25.14",1155,2,2,"2",1,2,6,2,4,"no","cold","Phylloscopus.sibilatrix",0,25
"26.14",1190,3,2,"2",2,2,5,2,7,"no","cold","Phylloscopus.sibilatrix",0,26
"27.14",1295,2,2,"0",2,4,6,2,6,"no","cold","Phylloscopus.sibilatrix",0,27
"28.14",930,4,2,"4",1,0,6,2,8,"no","cold","Phylloscopus.sibilatrix",6,28
"29.14",1000,3,2,"4",1,0,9,4,7,"no","cold","Phylloscopus.sibilatrix",2,29
"30.14",1090,4,1,"2",3,4,9,3,5,"no","cold","Phylloscopus.sibilatrix",2,30
"31.14",1180,2,2,"2",2,2,4,1,3,"no","cold","Phylloscopus.sibilatrix",0,31
"32.14",1175,3,2,"4",3,0,8,2,4,"no","warm","Phylloscopus.sibilatrix",0,32
"33.14",1170,4,2,"4",2,0,8,2,8,"no","warm","Phylloscopus.sibilatrix",4,33
"34.14",1190,4,2,"4",3,0,9,2,9,"no","warm","Phylloscopus.sibilatrix",4,34
"35.14",910,4,2,"4",0,0,7,2,8,"no","cold","Phylloscopus.sibilatrix",3,35
"36.14",1050,4,3,"2",0,0,8,2,4,"no","cold","Phylloscopus.sibilatrix",1,36
"37.14",1035,4,1,"3",3,2,9,3,4,"no","warm","Phylloscopus.sibilatrix",0,37
"38.14",1010,2,1,"4",3,0,9,3,9,"no","warm","Phylloscopus.sibilatrix",0,38
"39.14",1135,4,2,"4",3,0,9,3,9,"no","cold","Phylloscopus.sibilatrix",2,39
"40.14",1190,4,2,"4",1,0,9,3,9,"no","warm","Phylloscopus.sibilatrix",2,40
"41.14",910,4,2,"4",0,0,6,2,9,"no","warm","Phylloscopus.sibilatrix",4,41
"42.14",1050,4,2,"3",0,0,9,2,7,"no","warm","Phylloscopus.sibilatrix",2,42
